고시년도,회차,개최일자,안건일련번호,소관부서,안건제목,심의결과,개요
2011,16,2011-10-05 0:00:00,3,시설계획과,도시계획시설(공원)결정,보류,"○위치:경의선지상구간(용산문화센터~가좌역)
 ○면적: 101,668㎡
 ○내용:공원결정(경의선지상구간공원조성사업)"
2011,17,2011-10-19 0:00:00,1,푸른도시정책과,2030서울특별시공원녹지기본계획수립,보류,"○범위:서울시전역을대상(2011 ~ 2030년)
 ○내용:기초조사,기본구상,기본계획,관리이용및시민참여계획,추진및투자계획"
2011,17,2011-10-19 0:00:00,4,주거재생과,염창제1주택재건축정비구역변경지정,보류,"○위치:강서구염창동277-24번지일대
 ○면적: 21,287m2
 ○내용:용적률300%(465세대),아파트7개동, 24층(높이73m)이하"
2011,13,2011-08-17 0:00:00,3,주거재생과,"서울특별시도시·주거환경정비기본계획변경(안)
 (정비예정구역지정등)",보류,"○정비예정구역지정(신규,변경) : 73개소"
2011,13,2011-08-17 0:00:00,4,주거재생과,동소문2주택재개발정비구역변경지정,보류,"○위치:성북구동소문동2가33번지일대
 ○내용:제1종지구단위계획구역내특별계획구역세부계획결정(최고높이100m,아파트423세대)"
2002,6,2002-06-11 0:00:00,3,시설계획과,도시계획시설(녹지)변경결정,보류,"양천구목동776-1번지일대
 -면적: 199.5→199.5㎡
 (위치변경)"
2002,10,2002-12-18 0:00:00,14,재개발과,"용산공원남측도심재개발및
 지구단위특별계획(세부개발계획)
 구역(변경)지정",보류,"용산구한강로5가19번지일대
 -면적: 49,679㎡"
2003,3,2003-04-23 0:00:00,6,주거정비과,"고척제2주택재개발구역
 변경결정",보류,"구로구고척동1번지일대
 -면적: 55,508㎡"
2003,3,2003-04-23 0:00:00,7,주거정비과,"서울역-서대문1구역제4·6지구
 도심재개발구역변경결정",보류,"중구순화동195-1일대
 -면적: 48,674.0㎡→
 48,761.2㎡"
2003,3,2003-04-23 0:00:00,14,시설계획과,"자연경관지구내건축물(학교)
 높이제한완화",보류,"성동구행당동17번지일대
 (한양대학교)
 -면적: 514,292㎡
 - 3층(12m)이하→
 7층(28m)이하"
2003,10,2003-08-22 0:00:00,4,주거정비과,"순화구역도심재개발구역
 지정",보류,"중구순화동1-24일대
 -면적: 14,751.5㎡
 -용도지역변경:일반주거→준주거지역"
2003,12,2003-10-22 0:00:00,2,시설계획과,"도시계획시설(자동차정류장,도로,공공공지)결정·변경결정,
 제2종일반주거지역내층수제한,
 지구단위계획변경결정",보류,"양천구신정동733-9일대
 -자동차정류장(진입램프)폐지및도로,공공공지신설,층수제한(12층→7층)및지구단위계획변경결정"
2002,3,2002-03-19 0:00:00,1,시설계획과,"도시계획시설(가스공급설비)
 변경결정",보류,"강서구염창동281번지일대
 -면적: 25,747㎡→0㎡"
2011,21,2011-12-15 0:00:00,2,주택공급과,"방배경남아파트
 주택재건축정비구역지정",보류,"ㅇ위치:서초구방배동1028-1
 ㅇ내용:종상향(2종→3종),
 예정법적상한용적률(299.81%),최고25층"
2011,22,2011-12-22 0:00:00,4,푸른도시정책과,"2030서울시공원녹지기본
 계획수립결정",보류,"ㅇ위치:서울시전역을대상(2011~2030)
 ㅇ내용:기초조사,기본구상,기본계획,관리이용및시민참여계획,추진및투자계획"
2011,22,2011-12-22 0:00:00,5,주택공급과,"반포아파트지구개발기본계획
 변경결정(안)",보류,"ㅇ위치:서초구잠원동57번지일대
 ㅇ내용:개발기본계획변경(주택용지→분구중심용지,보행자전용도로→일반도로"
2011,22,2011-12-22 0:00:00,6,주택공급과,"반포한양아파트주택재건축
 예정법정상한용적률결정(안)",보류,"ㅇ위치:서초구잠원동66번지외3필지
 ㅇ내용:예정법정상한용적률(299.9%),최고29층"
2011,22,2011-12-22 0:00:00,7,주택공급과,"홍실아파트주택재건축
 정비구역지정",보류,"ㅇ위치:강남구삼성동79
 ㅇ내용:종상향(2종→3종),용적률249.9%,최35층"
2011,22,2011-12-22 0:00:00,2,주거재생과,"삼선제3주택재개발정비
 구역지정",보류,"○위치:성북구삼선동1가277번지일대
 ○내용:용적률185%이하,아파트13개동
 세대수467세대,평균층수10.2층이하"
2012,15,2012-07-18 0:00:00,6,도시계획국도시정비과,수표도시환경정비구역변경지정,보류,"○위치:중구입정동237일대
 ○면적: 12,316.6㎡
 ○내용:주용도(업무→주거),용적률(742%→800%)
 건폐율(55%→60%)"
2005,18,2005-11-24 0:00:00,5,도시관리과,여의도아파트지구개발기본계획(정비계획)변경심의결과조치보고,보고,"ㅇ위치:영등포구여의도동일원
 ㅇ면적: 550,734㎡(기정590,000)㎡"
2007,8,2007-05-09 0:00:00,4,도시관리과,"도시개발구역지정및개발계획
 수립수정내용보고",보고,"○마곡지구도시개발구역지정및 개발계획수립
 
 -위치:강서구마곡동,가양동일원
 -면적: 3,364,000㎡
 -내용:도시개발구역지정및개발계획"
2005,15,2005-10-05 0:00:00,1,도시관리과,"청담.도곡아파트지구개발기본
 계획(정비계획)변경결정",보고,"ㅇ강남구청담동,삼성동,역삼동일원-면적: 1,111,765㎡"
2011,9,2011-06-01 0:00:00,1,도시개발과,청진구역제1지구도시환경정비구역(경미한)변경지정,보고,"ㅇ위치:종로구청진동235-1번지일대
 ㅇ면적: 4,243.7㎡
 ㅇ내용:도시환경정비계획경미한변경지정(용적률,최고높이등)"
2005,9,2005-06-22 0:00:00,1,뉴타운총괄반,뉴타운특별법제정계획보고,보고,"ㅇ뉴타운특별법제정의필요성
 ㅇ특별법령에정할주요내용과이유"
2012,18,2012-09-19 0:00:00,9,주택정책실주거재생과,용두4주택재개발정비계획변경결정보고,보고,"○위치:동대문구용두동144번지일대(15,390㎡)
 ○내용:계획용적률변경(20%상향)및소형주택확보
 최고높이60m→65m(평균15.98층→평균16.5층)
 *제6차도시계획위원회(12. 4. 4)심의조건이행사항"
2006,4,2006-03-02 0:00:00,1,뉴타운사업2반,도시·주거환경정비기본계획(도시환경정비사업부문)변경(안)보고,보고,"ㅇ미아균형발전촉진지구의도시·주거환경정비기본계획변경(도시환경정비사업부문)보고
 -토지이용계획및밀도계획변경등
 -제2차도시계획위원회심의결과조건사항에 대한 조치계획보고임"
2004,9,2004-05-27 0:00:00,3,주거정비과,"불광제3주택재개발정비구역지정
 
 ※ 2003년14차(‘03.11.26)심의
 결과조건부가결된안건임",보고안동의,"ㅇ위 치:은평구불광동17번지일대
 ㅇ면 적: 70,054㎡
 ㅇ건축규모: 25개동1,165세대
 건폐율30%이하,
 용적률200%이하, 12층이하
 ㅇ조건사항이행
 -내부도로망개선,학교인접도로보도설치,
 환경친화적인건축계획"
2005,1,2005-01-19 0:00:00,11,주거정비과,도시·주거환경정비기본계획(도시환경정비사업부문)조건사항보고,보고안수용,"ㅇ도시·주거환경정비기본계획(도시환경정비사업부문)조건사항보고
 -용적률인센티브적용방안에대한검토보고"
2005,7,2005-05-04 0:00:00,2,주거정비과,현저2주거환경개선구역교통처리계획보고,보고안수용,"ㅇ서대문구현저동1번지일대
 -구역면적: 31,349㎡
 -교통처리계획:진·출입로를2개소에서1개소로변경"
2005,8,2005-05-17 0:00:00,7,시설계획과,도시계획시설(학교)높이제한완화심의결과조건부가결내용조치계획보고,보고안수용,"ㅇ관악구신림동56-1번지일대(서울대학교)
 -의생명과학연구동증축"
2004,21,2004-12-22 0:00:00,6,시설계획과,"도시계획시설(주차장,체육시설,유수지)결정",보고안수용,"ㅇ노원구공릉1동610-1(공릉초등학교운동장지하)
 -면 적:주차장: 4,750㎡
 체육시설: 2,970㎡
 유수지: 2,690㎡"
2006,18,2006-10-18 0:00:00,7,도시계획과,"구릉지정비구역관리제도개선
 추진상황보고",보고안수용,○서울시내재개발등정비구역
2006,5,2006-03-15 0:00:00,1,주거정비과,도시관리계획용도지역·용도지구변경결정,보고안수용,"ㅇ용산구한강로3가63번지일대
 -제3종일반주거지역→일반상업지역(82,683㎡)
 -용도지구(방화) : 6,587㎡→4,709㎡(감1,878㎡)"
2003,7,2003-06-30 0:00:00,6,시설계획과,"도시계획시설(공원,녹지)
 결정및변경결정",보류,"종로구무악동57-9일대
 -공원:신설1,843.7㎡,
 폐지1,174.8㎡
 -녹지:신설 800.2㎡,
 폐지 798.2㎡"
2003,7,2003-06-30 0:00:00,7,주거정비과,불광제3주택재개발구역지정,보류,"은평구불광동17번지일대
 -면적: 70,054㎡"
2012,3,2012-02-15 0:00:00,1,도시계획과,"도시관리계획(용도지역)변경
 결정",보류,"○위치:노원구상계동1132번지일대(70,083㎡)
 ○내용:자연녹지지역→1종일반주거지역(22,531㎡)"
2012,1,2012-01-18 0:00:00,3,도시정비과,"저동제2지구
 도시환경정비구역변경지정",보류,"○위치:중구저동82-2번지일대
 ○면적: 2,041.5㎡
 ○내용:주용도변경(업무→숙박시설)등"
2003,16,2003-12-17 0:00:00,23,시설계획과,"도시계획시설(폐기물처리시설)
 결정",보류,"강서구개화동319-7일대(일반폐기물처리시설)
 -면적: 16,157㎡"
2012,4,2012-03-07 0:00:00,2,도시정비과,"남대문구역및남대문구역제7-2,
 9-7지구도시환경정비구역 변경지정",보류,"ㅇ위치:중구회현동1가194-19
 ㅇ면적: 4,502㎡
 ㅇ내용
 -지구통합(7-2,9-7)및입체결정
 -숙박주용도,용적률1,063%,높이108m"
2012,4,2012-03-07 0:00:00,3,시설계획과,도시계획시설(성균관대학교) 변경결정,보류,"ㅇ위치:종로구명륜3가53-21일대(성균관대학교)
 ㅇ면적: 177,592㎡
 ㅇ내용:원남동캠퍼스결정및일반상업지역내대학건축물높이결정"
2003,4,2003-05-23 0:00:00,3,도시관리과,"금천구시흥역주변
 제1종지구단위계획구역지정",보류,"금천구시흥동일대
 -면적: 249,790㎡"
2011,20,2011-12-07 0:00:00,3,도시개발과,"구로구신도림동293번지
 일대도시환경정비구역지정",보류,"ㅇ위치:구로구신도림동293번지일대
 ㅇ내용:공동주택307%이하,산업부지400%이하"
2011,20,2011-12-07 0:00:00,5,주택공급과,"개포3단지주택재건축
 정비구역지정",보류,"ㅇ위치:강남구개포동138번지일대
 ㅇ내용:예정법적상한용적률(249.99%),최고33층"
2004,4,2004-03-03 0:00:00,4,시설계획과,"도시계획시설(유수지,도로)결정및변경결정",보류,"○구로구구로동1-4번지일대
 -유수지변경: 23,800㎡→
 20,202㎡
 -도로신설 :폭15m.
 연장143m"
